                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 6.6975,                 5.6047,                 4.2232,                      0,                      0,                      0,                      0,                  7.059,                 5.2464,                 4.1581,              1.818e-05,              1.818e-05,              1.818e-05
                      2,                 6.7462,                  5.095,                 4.1829,                      0,                      0,                      0,                      0,                  7.059,                 5.2456,                 4.1575,               4.53e-05,               4.53e-05,               4.53e-05
                      3,                 6.7558,                 5.0201,                 4.1632,                      0,                      0,                      0,                      0,                 7.0585,                 5.2349,                 4.1556,              7.224e-05,              7.224e-05,              7.224e-05
                      4,                 6.7504,                 5.1814,                 4.1147,                      0,                      0,                      0,                      0,                 7.0583,                 5.2282,                 4.1523,                9.9e-05,                9.9e-05,                9.9e-05
                      5,                 6.7458,                 4.9769,                 4.0519,                      0,                      0,                      0,                      0,                 7.0581,                 5.2172,                 4.1489,             0.00012558,             0.00012558,             0.00012558
                      6,                 6.6306,                 4.7529,                  3.951,                      0,                      0,                      0,                      0,                 7.0581,                  5.212,                 4.1461,             0.00015198,             0.00015198,             0.00015198
                      7,                  6.575,                  4.617,                 3.8216,                      0,                      0,                      0,                      0,                 7.0577,                 5.2016,                 4.1405,              0.0001782,              0.0001782,              0.0001782
                      8,                 6.4998,                 4.4276,                  3.696,                      0,                      0,                      0,                      0,                 7.0574,                  5.199,                 4.1381,             0.00020424,             0.00020424,             0.00020424
                      9,                 6.3388,                 4.1185,                 3.6023,                      0,                      0,                      0,                      0,                  7.057,                  5.194,                 4.1361,              0.0002301,              0.0002301,              0.0002301
                     10,                 6.1189,                 3.9225,                 3.5081,                      0,                      0,                      0,                      0,                 7.0571,                 5.1948,                 4.1351,             0.00025578,             0.00025578,             0.00025578
                     11,                 5.7883,                 3.7594,                 3.5028,                      0,                      0,                      0,                      0,                 7.0574,                 5.2098,                 4.1411,             0.00028128,             0.00028128,             0.00028128
                     12,                 4.9473,                 3.3957,                 3.4167,                      0,                      0,                      0,                      0,                 7.0575,                 5.2149,                 4.1422,              0.0003066,              0.0003066,              0.0003066
                     13,                 4.9714,                 3.3109,                 3.4401,                      0,                      0,                      0,                      0,                 7.0585,                 5.1852,                 4.1563,             0.00033174,             0.00033174,             0.00033174
                     14,                  4.351,                 2.9043,                 3.2534,                      0,                      0,                      0,                      0,                 7.0592,                 5.1354,                 4.1668,              0.0003567,              0.0003567,              0.0003567
                     15,                 4.4659,                 2.9049,                 3.0581,                      0,                      0,                      0,                      0,                  7.061,                 5.1133,                 4.1822,             0.00038148,             0.00038148,             0.00038148
                     16,                 3.6199,                 2.5637,                 3.0241,                      0,                      0,                      0,                      0,                 7.0608,                  5.075,                 4.1755,             0.00040608,             0.00040608,             0.00040608
                     17,                 3.2124,                  2.397,                 2.9706,                      0,                      0,                      0,                      0,                   7.06,                 4.9813,                 4.1608,              0.0004305,              0.0004305,              0.0004305
                     18,                  3.313,                 2.3158,                 2.7176,                      0,                      0,                      0,                      0,                 7.0609,                 4.9885,                 4.1722,             0.00045474,             0.00045474,             0.00045474
                     19,                 3.5276,                 2.4005,                 2.5993,                      0,                      0,                      0,                      0,                 7.0632,                 5.0612,                 4.1964,              0.0004788,              0.0004788,              0.0004788
                     20,                 3.2205,                 2.2057,                 2.4642,                      0,                      0,                      0,                      0,                 7.0656,                 5.1207,                  4.223,             0.00050268,             0.00050268,             0.00050268
                     21,                 2.8458,                 2.0964,                 2.3805,                      0,                      0,                      0,                      0,                 7.0686,                   5.21,                 4.2605,             0.00052638,             0.00052638,             0.00052638
                     22,                 3.0723,                 2.1188,                  2.352,                      0,                      0,                      0,                      0,                 7.0695,                 5.2434,                 4.2702,              0.0005499,              0.0005499,              0.0005499
                     23,                 3.1024,                 2.0877,                 2.2735,                      0,                      0,                      0,                      0,                 7.0687,                 5.2468,                 4.2587,             0.00057324,             0.00057324,             0.00057324
                     24,                 2.6813,                 1.9545,                 2.1205,                      0,                      0,                      0,                      0,                 7.0676,                  5.221,                 4.2412,              0.0005964,              0.0005964,              0.0005964
                     25,                 2.7631,                 2.0091,                  1.995,                      0,                      0,                      0,                      0,                 7.0691,                 5.2561,                 4.2547,             0.00061939,             0.00061939,             0.00061939
                     26,                 2.7677,                 2.0133,                 1.9821,                      0,                      0,                      0,                      0,                 7.0739,                 5.4011,                 4.3063,             0.00064219,             0.00064219,             0.00064219
                     27,                 2.7615,                 2.0281,                 1.9467,                      0,                      0,                      0,                      0,                   7.08,                 5.6527,                 4.3798,             0.00066481,             0.00066481,             0.00066481
                     28,                 2.8015,                 1.9583,                 1.9386,                      0,                      0,                      0,                      0,                 7.0829,                 5.7875,                 4.4167,             0.00068725,             0.00068725,             0.00068725
                     29,                 2.4674,                 1.9469,                 1.8513,                      0,                      0,                      0,                      0,                 7.0829,                 5.7875,                 4.4167,             0.00070951,             0.00070951,             0.00070951
                     30,                 2.3985,                 1.9346,                 1.8448,                      0,                      0,                      0,                      0,                  7.082,                 5.7183,                 4.3965,             0.00073159,             0.00073159,             0.00073159
                     31,                 2.6761,                 1.9751,                   1.75,                      0,                      0,                      0,                      0,                 7.0778,                 5.6148,                 4.3495,             0.00075349,             0.00075349,             0.00075349
                     32,                 2.6128,                 1.9216,                 1.7252,                      0,                      0,                      0,                      0,                 6.9374,                 5.0464,                 3.8808,             0.00077521,             0.00077521,             0.00077521
                     33,                 2.5053,                 1.8725,                  1.752,                      0,                      0,                      0,                      0,                 6.9374,                 5.0464,                 3.8808,             0.00079675,             0.00079675,             0.00079675
                     34,                 2.3564,                 1.8724,                 1.6985,                0.00565,                0.02734,                0.01727,                0.00513,                 5.3891,                 3.8439,                 2.8036,             0.00081001,             0.00081001,             0.00081001
                     35,                 2.3414,                 1.9037,                  1.805,                0.02214,                0.13252,                0.06302,                0.01783,                 4.2271,                 2.9114,                 2.2167,             0.00081001,             0.00081001,             0.00081001
                     36,                 2.3269,                 1.8519,                 1.6725,                0.28184,                0.18665,                0.10187,                0.03286,                  3.477,                 2.4884,                  1.951,             0.00080701,             0.00080701,             0.00080701
                     37,                 2.2298,                 1.8137,                 1.6546,                0.28184,                0.18665,                0.10187,                0.03286,                  3.477,                 2.4884,                  1.951,             0.00080401,             0.00080401,             0.00080401
                     38,                 2.3732,                 1.8988,                 1.6304,                0.24286,                0.32995,                0.11724,                0.04911,                 2.8571,                 2.3262,                 1.8184,             0.00080101,             0.00080101,             0.00080101
                     39,                 2.3296,                 1.8542,                 1.6848,                0.07593,                0.38446,                0.12145,                0.03933,                 3.0525,                 2.2894,                 1.7778,             0.00079801,             0.00079801,             0.00079801
                     40,                 2.2003,                 1.7509,                  1.572,                 0.0311,                0.14989,                0.03263,                0.00618,                  4.392,                 2.3614,                 1.9201,             0.00079501,             0.00079501,             0.00079501
                     41,                 2.2881,                 1.7837,                 1.5375,                 0.0311,                0.14989,                0.03263,                0.00618,                  4.392,                 2.3614,                 1.9201,             0.00079201,             0.00079201,             0.00079201
                     42,                 2.2387,                  1.804,                 1.6723,                0.00834,                0.03886,                0.00661,                0.00119,                 5.0275,                 2.4265,                 2.1451,             0.00078901,             0.00078901,             0.00078901
                     43,                 2.2227,                 1.7661,                 1.6177,                0.12698,                0.18563,                0.08197,                0.01693,                 3.8615,                 2.2555,                  1.831,             0.00078601,             0.00078601,             0.00078601
                     44,                 2.3291,                 1.7542,                 1.5213,                0.19572,                0.48863,                0.25015,                0.08603,                 2.5124,                 2.3221,                 1.4781,             0.00078301,             0.00078301,             0.00078301
                     45,                 2.4205,                   1.79,                 1.5017,                0.19572,                0.48863,                0.25015,                0.08603,                 2.5124,                 2.3221,                 1.4781,             0.00078001,             0.00078001,             0.00078001
                     46,                 2.1837,                 1.7215,                 1.5043,                0.22616,                0.43714,                0.27959,                0.09303,                 2.4993,                 2.4371,                 1.4641,             0.00077701,             0.00077701,             0.00077701
                     47,                 2.1741,                 1.7266,                 1.4678,                0.21321,                0.43441,                0.25235,                0.04919,                 3.1506,                 2.1081,                 1.7103,             0.00077401,             0.00077401,             0.00077401
                     48,                 2.3124,                 1.6926,                 1.4007,                0.15593,                0.35805,                0.18965,                0.03181,                 3.4014,                 2.0853,                 1.8356,             0.00077101,             0.00077101,             0.00077101
                     49,                 2.1952,                 1.6866,                 1.4788,                0.15593,                0.35805,                0.18965,                0.03181,                 3.4014,                 2.0853,                 1.8356,             0.00076801,             0.00076801,             0.00076801
                     50,                 2.1629,                 1.7027,                  1.488,                0.58699,                0.14586,                0.12237,                0.01715,                  3.683,                 2.2578,                 2.0075,             0.00076501,             0.00076501,             0.00076501
                     51,                 2.0537,                 1.6856,                 1.4655,                0.58704,                0.15576,                0.14008,                0.01898,                 3.6537,                 2.2743,                 1.9915,             0.00076201,             0.00076201,             0.00076201
                     52,                 2.1076,                 1.6771,                 1.4917,                0.21952,                0.43452,                0.30963,                0.06012,                 3.1981,                 2.0049,                 1.7221,             0.00075902,             0.00075902,             0.00075902
                     53,                 2.1175,                 1.6288,                 1.4237,                0.21952,                0.43452,                0.30963,                0.06012,                 3.1981,                 2.0049,                 1.7221,             0.00075602,             0.00075602,             0.00075602
